	title	content	category	created_date
1	В России начался весенний призыв. Сколько он продлится, что изменилось в 2024 году и отправят ли срочников в зону СВО?	В России 1 апреля начался весенний призыв на военную службу, который продлится по 15 июля. Соответствующий указ президента страны Владимира Путина опубликован на официальном портале правовой информации.В документе сказано, что направить на срочную службу планируется 150 тысяч молодых людей в возрасте от 18 до 30 лет.Срочников начнут отправлять в воинские части с 15 апреля, рассказал заместитель начальника главного организационно-мобилизационного управления (ГОМУ) Генерального Штаба Вооруженных сил России вице-адмирал Владимир Цимлянский, его слова приводит Министерство обороны.Все призывники будут направлены для прохождения военной службы в пункты постоянной дислокации соединений и воинских частей Вооруженных сил и других воинских формирований на территории Российской ФедерацииПредставитель военного ведомства заявил, что в новые регионы — Донецкую и Луганскую народные республики (ДНР и ЛНР), а также в Херсонскую и Запорожскую области — срочников, как и прежде, направлять не будут: ни на службу, ни для непосредственного участия в специальной военной операции (СВО).«Срок военной службы по призыву, как и прежде, составит 12 месяцев», — добавил он.Весенний призыв будет проходить с 1 апреля во всех регионах России за исключением Крайнего Севера и приравненных к нему районов, где призывают на военную службу с 1 ноября по 31 декабря. Это связано с климатическими особенностями.Весенний призыв 2024 года станет первой кампанией, проведенной после вступления 1 января в силу закона об изменении границ призывного возраста, согласно которому в армию теперь призывают молодых людей с 18 до 30 лет.Ранее возраст призывников составлял от 18 до 27 лет. Граждане, которым исполнилось 27 лет до вступления в силу нового закона, то есть 1 января 2024 года, призыву не подлежат.предельный возраст призыва на срочную службуРанее в России приняли поправки, которые меняют правила оповещения призывников о необходимости явки в военкомат. Повестки теперь могут рассылать заказным письмом, через МФЦ и «Госуслуги». Электронная повестка считается врученной после размещения на «Госуслугах».Однако пока что эта система полностью не отлажена, поэтому в весенний призыв 2024 года продолжится тестовая рассылка электронных повесток, рассказал председатель Комитета Государственной Думы по обороне Андрей Картаполов. Так уже было во время предыдущего призыва.Фото: Владимир Смирнов / ТАССДепутат подчеркнул, что бумажная повестка по-прежнему является основным способом оповещения о необходимости явиться в военкомат. Электронная же пока будет лишь ее дублировать, указал парламентарий.В 2023 году существенно выросли размеры штрафов для призывников.В частности, за неявку в военкомат по повестке без уважительной причины могут взыскать с призывника от 10 тысяч до 30 тысяч рублей, а не от 500 рублей до 3 тысяч рублей, как раньше.максимальный штраф для уклонистаЕсли не сообщить в военкомат об изменении семейного положения, места работы или учебы, образования, а также о переезде на новое место жительства, могут оштрафовать на сумму от 1 тысячи до 5 тысяч рублей. Гражданам, которые не сообщили о выезде из России на срок более полугода, грозит взыскание в размере от 5 тысяч до 15 тысяч рублей.Призывников, которые без уведомления покинули место жительства на срок более трех месяцев в период призывной кампании, ожидает штраф от 10 до 15 тысяч рублей. Потеря или порча документа воинского учета обойдется в сумму от 3 до 5 тысяч рублей.Существеннее всего усилили наказание за уклонение от медкомиссии: если раньше можно было отделаться предупреждением, то теперь могут назначить штраф от 15 до 25 тысяч рублей.	Россия	00:00, 1 апреля 2024
2	В России начался весенний призыв	В России 1 апреля начался весенний призыв на военную службу. Соответствующий указ президента страны Владимира Путина опубликован на официальном портале правовой информации.В доку менте сказано, что направить на срочную службу планируется 150 тысяч молодых людей в возрасте от 18 до 30 лет.Кампания завершится 15 июля, сообщил ранее заместитель начальника главного организационно-мобилизационного управления Генштаба вице-адмирал Владимир Цимлянский, его слова приводит в своем Telegram-канале Минобороны.«Срок военной службы по призыву, как и прежде составит 12 месяцев», — сказал он, отметив, что срочников начнут отправлять в воинские части с 15 апреля.Представитель министерства заверил, что срочников как и ранее не планируется направлять в новые регионы — ДНР и ЛНР, а также в Херсонскую и Запорожскую области.Весенний призыв будет проходить с 1 апреля во всех регионах России за исключением Крайнего Севера и приравненных к нему районов, где призывают на военную службу с 1 ноября по 31 декабря. Это связано с климатическими особенностями, пояснил вице-адмирал.Ранее сообщалось, что в Генштабе положительно оценили повышение с 27-ми до 30 лет верхней границы призывного возраста в России с начала 2024 года: там считают, что это «благоприятно скажется на моральном климате воинских частей».	Россия	00:00, 1 апреля 2024
3	Российские военные уничтожили место базирования боевиков в Сирии	Российские Воздушно-космические силы (ВКС) уничтожили место базирования боевиков в сирийской провинции Хомс. Об этом сообщил на брифинге заместитель руководителя Центра по примирению враждующих сторон (ЦПВС) генерал-майор Юрий Попов.Отмечается, что боевики вышли из зоны Эт-Танф и укрылись в труднодоступных районах горного хребта Джебель-Эль-Мраах.Попов также заявил, что за сутки в районе Эт-Танф зафиксировано пять нарушений протоколов деконфликтации, пары истрбителей F-15 и Rafale, а также разведывательный самолет B-350 осуществляли полеты без согласования с российской стороной.Ранее сообщалось, что два беспилотных летательных аппарата (БПЛА) атаковали базу США на месторождении газа «Конико» в провинции Дейр-эз-Зор на востоке Сирии. 	Мир	00:02, 1 апреля 2024
4	В России стало сложнее получить права после одного нарушения ПДД	Нарушителей правил дорожного движения (ПДД), лишенных права управления транспортными средствами за «пьяную» езду, теперь будут допускать до пересдачи экзамена в ГИБДД только после истечения одного года. Соответствующая норма содержится во вступившем в силу с 1 апреля новом регламенте, который разработало МВД России, передает ТАСС.Сам запрет существовал и ранее, однако, ранее те, кто был пойман пьяными за рулем (или отказался проходить медицинское освидетельствование), вообще не имея прав, а также те, у кого срок действия документа истек, после «отсидки» ареста на срок от 10 до 15 суток могли сразу идти на экзамен в ГИБДД и получить новое водительское удостоверение. Теперь эту лазейку прикрыли.Согласно тому же регламенту, с 1 апреля для получения водительских прав потребуется СНИЛС. Документ будет необходимо предъявить при сдаче экзамена на знание ПДД и получения водительского удостоверения. Помимо СНИЛС, будущим водителям нужно иметь при себе номер индивидуального лицевого счета. Это не касается сотрудников дипломатических представительств и других схожих категорий кандидатов в водители.	Россия	00:14, 1 апреля 2024
5	В России с 1 апреля изменился экзамен на получение водительских прав	В России с 1 апреля изменился регламент экзамена на получение водительских прав, который разработало МВД России. Об этом сообщает ТАСС.В частности, теперь инспектор-экзаменатор должен сидеть не справа от водителя, как это было до сих пор, а на заднем сиденье. Дело в том, что ранее в случае ДТП часто именно экзаменатора суд признавал виновным: согласно российскому законодательству, обучающий вождению приравнивается к водителю. Теперь подобная практика уйдет в прошлое. В то же время, это нововведение коснется только случаев, когда практический экзамен в ГИБДД проходит на автомобиле автошколы.Также перестанут пускать на экзамен тех, кто не явился в военный комиссариат после получения повестки. Ожидается, что это ограничение, а также его отмена будет отображаться в Едином реестре сведений о гражданах, подлежащих постановке на воинский учет или состоящих на нем, когда тот заработает.Еще одно изменение — запрет на один год допуска к сдаче экзаменов гражданам, которые подвергнуты административному наказанию за вождение в пьяном виде или отказались проходить медосмотр.Также в перечне ужесточений — увеличение срока между попытками сдать экзамены. Если ученик провалил три попытки, последующие возможны только через полгода, но не позднее девяти месяцев.Есть в регламенте и послабление. С 1 апреля в ходе сдачи практического экзамена в ГИБДД допускается получение семи штрафных баллов, а не пяти, как это было ранее.Кроме того, есть в документе и техническое уточнение: если в процессе сдачи экзаменов у гражданина истечет срок действия паспорта или медицинской справки, то процесс приостановят до предъявления кандидатом действующих документов. Эти ограничения существовали и ранее, однако их решили дополнительно отразить в регламенте.Ранее автоэксперт, главный редактор сетевого автомобильного издания Quto Максим Ракитин в беседе с «Лентой.ру» выразил мнение, что с 1 апреля шанс получить водительского удостоверение с первого раза станет выше, потому что возрастет количество допустимых во время экзамена ошибок.	Россия	00:14, 1 апреля 2024
6	Закон об обеспечении миллионов россиян едой и топливом вступил в силу	В России с 1 апреля вступил в силу закон, благодаря которому решается вопрос обеспечения почти 10 миллионов россиян едой и топливом — базовый закон о северном завозе. Документ опубликован на официальном портале правовой информации.Закон был разработан по поручению президента России Владимира Путина. Координатором северного завоза определено Минвостокразвития России.Кроме того, закон вводит понятие единого морского оператора северного завоза. Срок полномочий оператора, который непосредственно займется перевозками грузов, составит 15 лет. Государство же берет на себя обязательство по обслуживанию инфраструктуры северного завоза. «Содержание опорной сети объектов транспортно-логистической инфраструктуры северного завоза, находящихся в федеральной собственности, собственности субъектов Российской Федерации, муниципальной собственности, осуществляется за счет средств соответственно федерального бюджета», — говорится в документе.По данным Росстата, в 2021 году на территориях Крайнего Севера и приравненных к ним районах проживали более 9,8 миллиона человек.Ранее сообщалось, что благодаря Севморпути навигация позволит улучшить ситуацию с северным завозом, в рамках которого ежегодно доставляется 3,2 миллиона тонн грузов в 25 регионов России. К 2035 году маршрут будет обслуживать 18 ледоколов, что обеспечит непрерывность и круглогодичность ледовой проводки.	69-я параллель	00:14, 1 апреля 2024
7	У некоторых россиян выросли пенсии	С 1 апреля в России проиндексировали социальные пенсии: они выросли на 7,5 процента. Об этом говорится в постановлении правительства. Размер индексации рассчитывается исходя из темпов роста прожиточного минимума пенсионеров за прошедший год.Социальные пенсии получают россияне, у которых нет достаточного подтвержденного стажа для начисления страховой пенсии. Кроме того, эти выплаты положены людям с инвалидностью и тем, кто потерял кормильца.Кроме того, с 1 апреля на 7,5 процента повышен размер государственного пенсионного обеспечения отдельных категорий граждан. Речь идет о военнослужащих, участниках Великой Отечественной войны и гражданах, которые пострадали в результате радиационных и техногенных катастроф.В общей сложности нынешнее повышение затрагивает более четырех миллионов человек. На эти цели предусмотрено 37,5 миллиарда рублей.Страховые пенсии уже проиндексировали с 1 января. Для работающих пенсионеров индексация страховых пенсий не предусмотрена. Повышение выплат происходит согласно закону о федеральном бюджете. Соответствующий закон «О федеральном бюджете на 2024 год и на плановый период 2025 и 2026 годов» подписал в конце ноября прошлого года президент России.	Экономика	00:15, 1 апреля 2024
8	В чайном грибе обнаружили полезные бактерии	Ученые Университета Северной Каролины в Чапел-Хилл обнаружили, что микробы в составе чайного гриба оказывают эффект, аналогичный полезному голоданию. Результаты исследования опубликованы в журнале PLOS Genetics.Специалисты изучили, как микроорганизмы влияют на метаболизм нематод Caenorhabditis elegans. Оказалось, что дрожжи и бактерии колонизируют кишечник червей и вызывают метаболические изменения, аналогичные тем, которые происходят во время голодания.Пробиотические микробы изменяли экспрессию генов, участвующих в метаболизме жиров, в результате чего образуется больше белков, которые расщепляют жиры, и меньше белков, которые участвуют в синтезе молекул жира, называемые триглицеридами. В совокупности эти изменения уменьшали запасы жира у червей.Однако ученые отмечают, что необходимы дополнительные исследования, чтобы предоставить доказательства того, что люди, потребляющие чайный гриб, испытывают такие же эффекты, как и животная модель C. elegans. В то же время результаты согласуются с предыдущими сообщениями о предполагаемой пользе чайного гриба.	Наука и техника	00:15, 1 апреля 2024
9	В ВСУ заявили о подготовке России к открытию еще одного участка фронта	Россия готовит дополнительные резервы, чтобы открыть еще одно направление фронта, заявил командир батальона беспилотных летательных аппаратов (БПЛА) 92-й отдельной штурмовой бригады Вооруженных сил Украины (ВСУ) Юрий Федоренко в интервью Radio NV.По его словам, создание резерва позволит усилить давление на нынешнюю боевую линию, либо открыть новый участок фронта. По мнению бойца ВСУ, в России проходят «скрытые мобилизационные процессы».«Они формируют дополнительный резерв. Он может так или иначе быть применен либо для продолжения натиска на текущей линии боевого соприкосновения, либо для открытия другого направления сосредоточения усилий, то есть еще одного отрезка фронта», — указал военнослужащий.Ранее президент РФ Владимир Путин заявил, что благодаря Воздушно-космическим силам (ВКС) Россия смогла добиться перелома на самых сложных участках фронта в зоне проведения спецоперации (СВО). 	Бывший СССР	00:18, 1 апреля 2024
10	В России подорожали некоторые автомобили	Правительство России изменило порядок расчета утилизационного сбора. Это повлияет на стоимость автомобилей, растаможенных в странах ЕАЭС по заниженной цене. Изменения вступили в силу 1 апреля.Иными словами, больше нет возможности ввозить новые автомобили с оформлением на физлиц без уплаты дополнительных платежей. Как указывал независимый эксперт транспортной отрасли Алексей Тузов, в первую очередь это коснется автомобилей, официально не представленных в России. «Например, премиальный кроссовер Li 9, стоимость которого в Китае составляла примерно 5 миллионов рублей, а в России 7-7,1 миллиона рублей. С учетом всех изменений в растаможке, а также перепрошивки для эксплуатации в нашей стране он обойдется в 7,8 миллиона рублей», — привел он пример.В 2023 году произошло несколько важных изменений. Во-первых, с 1 августа 2023 года утильсбор для легковых, легких коммерческих, грузовых автомобилей и автобусов был в очередной раз проиндексирован. По факту теперь размер утильсбора для физлиц равен размеру сбора для юридических лиц.Как заявлял глава Минпромторга Денис Мантуров, повышение тарифов нужно для поддержки отечественного автомобильного рынка.	Экономика	00:20, 1 апреля 2024
